Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
812,228645,-0.22,0.11,0.28,0,0,0,-0.07,-0.29,0.05,-0.04,0.06,-0.13
815,228646,-0.02,0,0.19,0,0,0,0.12,0.06,0.04,-0.23,0.25,0.12
817,228647,-0.35,0.06,0.08,0,0,0,0.05,0.01,-0.08,-0.04,0.07,-0.06
820,228648,-0.19,-0.03,0.24,0,0,0,0.1,0.02,0.14,-0.03,0.08,0.42
822,228649,-0.17,0.04,0.13,0,0,0,-0.08,-0.02,0.14,0.01,0.11,0.65
826,228650,-0.24,0.09,0.32,0,0,0,0.02,0.02,0.19,-0.12,0.13,-0.02
828,228651,-0.22,0.1,0.28,0,0,0,0.1,-0.03,0.08,-0.2,0.2,0.14
830,228652,-0.15,-0.1,0,0,0,0,0.04,-0.11,0.05,-0.3,0.22,0.12
833,228653,-0.18,0.04,0.14,0,0,0,-0.1,0.18,0.1,-0.06,0.25,0.13
835,228654,-0.15,-0.03,0.06,0,0,0,0.09,-0.03,-0.05,-0.12,0.13,0.03
886,228655,0.1,-0.06,-0.07,0,0,0,-0.1,0.01,-0.1,0.08,-0.24,-0.12
888,228656,-0.03,-0.12,-0.02,0,0,0,0.12,0.01,0.02,0,0.06,0.02
890,228657,-0.28,0.07,-0.05,0,0,0,0.03,0.17,0.09,0.02,0.04,-0.02
893,228658,0.14,-0.05,-0.07,0,0,0,-0.01,-0.05,-0.17,-0.02,-0.06,0.09
895,228659,0.14,-0.02,-0.14,0,0,0,-0.06,0.05,-0.05,-0.06,0.03,0.05
899,228660,-0.13,-0.26,-0.17,0,0,0,-0.33,0.33,0.14,0.17,-0.02,-0.06
904,228661,0.06,0.06,-0.32,0,0,0,0.28,0.19,0.7,-0.03,-0.17,-0.02
905,228662,-0.01,0,-0.16,0,0,0,0.19,0.18,-0.01,0.01,-0.11,-0.06
906,228663,-0.14,0.02,0.04,0,0,0,-0.22,0.03,-0.22,0.25,0.04,-0.02
909,228664,0.16,0.11,-0.05,0,0,0,0.21,0.11,-0.09,0,-0.18,0.09
959,228665,0.02,0.06,-0.05,0,0,0,0.17,-0.27,0.24,0.03,0.44,0.24
961,228666,0.24,0.12,-0.03,0,0,0,-0.33,-0.19,-0.02,0.22,0.08,0.21
964,228667,0.13,0.21,-0.05,0,0,0,-0.03,0.01,0.4,0.01,0.06,0.11
966,228668,0.14,-0.01,0.01,0,0,0,-0.22,-0.41,-0.01,0.24,0.03,-0.05
969,228669,0.33,0.07,0.09,0,0,0,-0.03,-0.09,0.06,0.06,0.11,-0.06
972,228670,0.06,0.11,0.36,0,0,0,0.04,-0.15,0.08,0.08,0.11,0.05
974,228671,-0.11,0.09,0.15,0,0,0,-0.12,-0.11,-0.06,-0.01,-0.01,0.15
976,228672,-0.11,0.13,0.31,0,0,0,-0.05,-0.09,-0.01,0.05,0.13,0.22
979,228673,-0.04,0.19,-0.07,0,0,0,0.19,-0.05,-0.17,0.09,-0.07,0.12
982,228674,-0.01,-0.07,0.19,0,0,0,-0.01,0.09,0.08,0.21,-0.04,0.08
1032,228675,-0.13,-0.16,-0.01,0,0,0,0.07,0.25,0.17,-0.19,0.22,-0.13
1035,228676,-0.2,-0.09,0.06,0,0,0,0.22,-0.06,0.05,-0.15,0.04,-0.16
1037,228677,-0.21,-0.27,-0.03,0,0,0,-0.09,-0.04,-0.15,-0.03,0,-0.31
1039,228678,-0.12,-0.14,-0.16,0,0,0,0,0.25,-0.04,-0.13,-0.05,-0.44
1042,228679,-0.19,-0.02,-0.06,0,0,0,0,0.09,-0.17,-0.16,-0.03,-0.89
1045,228680,-0.02,-0.21,-0.19,0,0,0,0.04,0.25,-0.09,-0.23,-0.26,-0.04
1047,228681,-0.11,-0.1,-0.02,0,0,0,-0.09,0.21,-0.13,-0.11,-0.11,-0.2
1050,228682,0.06,0.1,0.06,0,0,0,-0.24,-0.13,-0.15,0.09,-0.25,0.23
1052,228683,-0.01,-0.32,-0.12,0,0,0,0.08,0.18,0.09,-0.37,0.22,-0.22
1054,228684,-0.28,-0.08,0.08,0,0,0,-0.03,0.06,-0.13,-0.02,-0.36,-0.13
1106,228685,0.07,-0.05,0.01,0,0,0,0.22,0,-0.03,0,0.18,-0.21
1107,228686,-0.19,0,0.09,0,0,0,0.24,0.06,-0.35,-0.14,-0.02,-0.36
1110,228687,0.25,0.09,0.19,0,0,0,-0.25,-0.2,-0.2,0.09,0.11,-0.5
1113,228688,0.23,-0.08,-0.1,0,0,0,-0.35,-0.16,-0.54,0.03,0.07,-0.4
1115,228689,0.03,-0.09,0.22,0,0,0,-0.17,0.09,0.03,0.19,0.08,-0.17
1118,228690,0.4,-0.09,0.04,0,0,0,-0.28,-0.06,0.17,0.06,0.14,-0.39
1120,228691,0.33,-0.03,0.24,0,0,0,-0.51,-0.04,-0.19,0.24,0.04,-0.34
1122,228692,0.3,0.07,0.05,0,0,0,0.14,-0.26,0.07,0.25,0.18,-0.11
1127,228693,-0.02,0.11,-0.13,0,0,0,-0.31,-0.28,0,0.31,0.42,-0.41
1129,228694,0.39,0.32,0.29,0,0,0,-0.15,0.08,0.05,0.25,-0.13,0.14
1131,228695,-0.08,0.23,0.22,0,0,0,-0.35,-0.02,0.02,0.5,-0.21,-0.17
1182,228696,-0.43,0.18,0.07,0,0,0,0.01,0.05,-0.06,-0.04,-0.01,0.27
1183,228697,0.05,-0.24,0.1,0,0,0,-0.22,-0.12,0.09,-0.31,-0.23,-0.08
1186,228698,-0.19,0.35,0.03,0,0,0,0.27,0.08,-0.11,0.09,0.12,-0.04
1189,228699,0.03,-0.02,0.39,0,0,0,-0.01,-0.13,0.07,-0.11,0.44,0.24
1191,228700,-0.33,-0.09,-0.15,0,0,0,0.04,-0.05,0.02,-0.19,0.23,0.15
1193,228701,-0.29,0.04,-0.1,0,0,0,-0.04,-0.04,-0.09,0.01,-0.05,0.02
1197,228702,-0.02,-0.21,-0.24,0,0,0,-0.19,-0.01,0.23,-0.07,0.2,-0.03
1199,228703,-0.06,-0.53,-0.47,0,0,0,-0.28,0.54,-0.04,0.08,-0.07,-0.29
1201,228704,0.13,-0.46,0.14,0,0,0,0.04,0.46,-0.04,-0.03,-0.1,-0.43
1205,228705,-0.24,-0.05,-0.39,0,0,0,-0.14,0.07,-0.08,0.06,0.22,-0.24
1254,228706,-0.09,-0.05,-0.47,0,0,0,0.18,-0.05,0.03,0.03,-0.17,0.6
1257,228707,0.07,0.59,-0.21,0,0,0,-0.04,-0.49,-0.57,-0.35,-0.21,0.2
1259,228708,0.06,0.16,0.13,0,0,0,0.05,-0.31,0.01,-0.16,0.14,-0.18
1261,228709,0.01,-0.12,0.02,0,0,0,0.12,0.14,0.15,-0.29,0.03,-0.37
1265,228710,-0.19,0.07,0.04,0,0,0,0.54,0.09,0.36,-0.34,-0.26,-0.39
1267,228711,-0.19,-0.12,-0.34,0,0,0,0.11,0.21,0.56,-0.13,0.2,-0.29
1269,228712,0.15,0.17,0.42,0,0,0,0.48,-0.1,0.22,-0.31,0.11,-0.09
1273,228713,-0.1,0.2,-0.44,0,0,0,0.22,-0.04,0.23,-0.24,0.18,-0.44
1275,228714,-0.01,0.22,0.28,0,0,0,0.57,0.03,-0.01,0.01,0.04,-0.33
1277,228715,-0.13,0.01,-0.05,0,0,0,0.04,-0.29,-0.09,-0.37,0.21,-0.29
1279,228716,-0.06,0.08,-0.19,0,0,0,-0.2,-0.08,-0.07,-0.11,-0.31,-0.61
1330,228717,0.06,-0.05,0.09,0,0,0,-0.13,0.12,-0.26,-0.03,0.09,0.09
1333,228718,-0.06,0.02,0.42,0,0,0,-0.17,-0.27,-0.29,0.23,0.04,0.19
1335,228719,0.25,-0.07,-0.26,0,0,0,-0.03,-0.01,-0.22,0.21,-0.12,0.08
1337,228720,0.17,0.03,-0.2,0,0,0,-0.09,0.07,-0.25,0.1,0.16,0.29
1340,228721,0.19,-0.03,-0.3,0,0,0,0.15,0.1,-0.15,0.09,-0.2,-0.09
1343,228722,0.62,0.02,-0.03,0,0,0,0.12,0.02,-0.02,0.19,-0.3,0.21
1347,228723,-0.13,0.3,0.09,0,0,0,-0.01,-0.32,-0.09,0.24,-0.13,0.34
1349,228724,0.35,0.03,-0.18,0,0,0,0.28,0.05,0.24,0.06,-0.18,-0.02
1351,228725,0.19,0.12,0.2,0,0,0,0.06,0,-0.18,0.06,-0.06,0.18
1353,228726,0.07,0.29,-0.01,0,0,0,-0.01,-0.18,-0.23,0.36,-0.25,0.11
1356,228727,0.06,0.06,-0.29,0,0,0,0.32,0.2,-0.16,0.02,0.02,0.34
1406,228728,-0.07,-0.16,0.2,0,0,0,-0.18,-0.04,-0.13,0.07,-0.11,-0.15
1408,228729,0.17,-0.04,-0.19,0,0,0,-0.46,-0.01,-0.01,-0.04,-0.25,0.47
1410,228730,0.03,0,-0.1,0,0,0,-0.08,0.02,0.14,-0.14,0.12,-0.24
1414,228731,-0.11,0.09,0.17,0,0,0,-0.18,-0.15,-0.17,0,0.24,0.08
1416,228732,0.26,0.04,-0.21,0,0,0,-0.01,-0.03,-0.1,0.04,0.08,0.41
1418,228733,0.07,-0.14,0.03,0,0,0,-0.15,0.15,0.32,0.14,0.2,0.39
1422,228734,0.08,0.13,-0.01,0,0,0,-0.18,-0.13,-0.06,0.17,-0.26,-0.04
1424,228735,0.1,-0.09,0.3,0,0,0,0.02,0.06,0.2,0.11,-0.29,-0.05
1426,228736,0.33,-0.32,-0.08,0,0,0,-0.12,0.15,0.21,0.14,-0.1,0.03
