Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
915,320877,0.17,-0.02,0.12,0,0,0,0.5,0.15,-0.06,-0.66,0.03,-0.24
918,320878,0.52,-0.22,-0.3,0,0,0,-0.11,-0.03,-0.1,-0.03,0.28,-0.21
921,320879,0.27,-0.16,-0.1,0,0,0,0.02,0.1,0.13,0.36,0.45,-0.13
923,320880,-0.49,0.05,-0.33,0,0,0,0.13,0.17,0,0.38,0.25,-0.35
926,320881,-0.06,0.06,-0.08,0,0,0,0.11,0.12,0.09,0.59,0.11,-0.13
928,320882,-0.07,-0.19,-0.09,0,0,0,0.07,0.32,0.16,-0.21,0.26,0.03
931,320883,0.19,-0.07,0.04,0,0,0,-0.27,0.04,0.32,-0.16,-0.01,0.06
934,320884,1.02,-0.06,0.3,0,0,0,0,0.07,-0.16,-0.19,-0.13,0.25
936,320885,-0.57,-0.1,-0.42,0,0,0,-0.43,-0.18,-0.16,0.04,-0.02,0.22
987,320886,-0.06,0.3,-0.3,0,0,0,-0.16,-0.29,0.17,-0.44,0.25,0.27
988,320887,0.63,0.2,0.14,0,0,0,0.05,-0.13,-0.03,0.21,0.07,0.17
992,320888,-0.06,-0.18,-0.12,0,0,0,-0.64,0.08,0.74,-0.05,-0.21,-0.02
994,320889,-0.4,-0.04,0.02,0,0,0,-0.09,0.39,0.55,0.42,-0.08,-0.04
996,320890,0.15,-0.18,0.35,0,0,0,0.01,0.21,0.29,0.02,-0.1,0.11
999,320891,-0.26,-0.03,-0.01,0,0,0,0.03,-0.03,0.24,-0.27,-0.09,-0.12
1002,320892,0.65,0.02,0.01,0,0,0,0.06,-0.33,-0.16,-0.31,0.02,-0.32
1004,320893,0.32,0.03,-0.39,0,0,0,-0.18,-0.27,0.16,0.21,0.4,-0.02
1006,320894,-0.4,0.3,-0.27,0,0,0,0.22,-0.01,0.06,0.67,0.23,-0.3
1010,320895,-0.31,-0.15,0.09,0,0,0,0.49,0.21,-0.18,0.23,-0.25,-0.33
1060,320896,0.64,-0.49,0.23,0,0,0,0.24,0.24,-0.16,0.16,-0.27,-0.11
1062,320897,0.69,-0.41,0.22,0,0,0,-0.28,0.31,-0.07,-0.31,-0.38,0.28
1064,320898,-0.25,-0.13,-0.3,0,0,0,-0.81,-0.01,0.16,0.07,-0.3,0.08
1067,320899,0.34,0.11,0.25,0,0,0,0.48,0,0.18,0.25,0,0.26
1069,320900,-0.28,0.26,-0.16,0,0,0,-0.18,-0.22,-0.01,-0.14,0.25,0.29
1073,320901,-0.31,0.18,-0.45,0,0,0,-0.35,-0.33,-0.18,0.4,-0.04,-0.42
1075,320902,0.92,-0.02,-0.15,0,0,0,0.69,0.32,-0.38,-0.14,-0.35,-0.17
1078,320903,-0.23,-0.29,-0.38,0,0,0,-0.45,0.14,-0.37,-0.14,-0.32,0.09
1080,320904,-0.47,0,0.07,0,0,0,0.06,0.12,-0.08,0.22,-0.4,-0.23
1083,320905,-0.05,-0.11,0.16,0,0,0,0.29,0.28,0,0.27,-0.08,-0.18
1134,320906,-0.05,0.03,0.23,0,0,0,-0.36,-0.15,0,0.09,-0.06,-0.09
1136,320907,-0.3,0.25,-0.38,0,0,0,-0.23,-0.04,-0.16,-0.19,0.17,0.02
1138,320908,-0.1,-0.04,-0.14,0,0,0,0.64,0.34,-0.43,0.36,0.3,-0.03
1141,320909,-0.22,-0.23,0.19,0,0,0,0.39,0.39,-0.22,0,0.09,0.34
1143,320910,-0.31,-0.22,0.05,0,0,0,-0.3,0.07,-0.23,-0.48,-0.07,-0.06
1146,320911,0.76,-0.27,0.26,0,0,0,0.09,0.37,-0.06,0.33,-0.32,0.28
1148,320912,-0.56,0.11,0.04,0,0,0,-0.16,-0.15,0.11,-0.33,-0.01,0.26
1150,320913,-0.42,-0.04,-0.01,0,0,0,-0.09,-0.24,-0.11,0.47,0.09,0.13
1154,320914,0.47,0.02,0.23,0,0,0,0.3,-0.06,-0.39,-0.21,-0.06,0.34
1157,320915,0.29,0.07,-0.21,0,0,0,-0.06,-0.11,-0.37,-0.35,0.04,0.05
1207,320916,-0.13,-0.09,0.26,0,0,0,0.43,0.09,-0.42,-0.05,0.16,0.26
1208,320917,-0.2,0.28,0.09,0,0,0,-0.34,0.07,-0.18,-0.24,-0.16,0.09
1212,320918,0.35,-0.34,0.15,0,0,0,-0.32,-0.22,-0.29,-0.3,-0.22,-0.1
1214,320919,0.71,-0.25,0.37,0,0,0,0.07,0.09,-0.19,-0.01,-0.09,-0.33
1216,320920,-0.62,0.17,-0.27,0,0,0,-0.3,-0.19,-0.12,-0.13,-0.14,-0.1
1219,320921,0.02,0.01,-0.21,0,0,0,0.12,0.02,0,0.57,0,-0.6
1221,320922,0.08,0.04,-0.09,0,0,0,0.3,0.05,0.12,0.09,0.05,-0.63
1225,320923,-0.16,0.13,-0.16,0,0,0,-0.35,-0.1,0.03,-0.12,-0.05,-0.1
1227,320924,0.53,-0.12,0.14,0,0,0,0.02,0.12,0.06,0.42,-0.17,0.32
1229,320925,-0.19,-0.01,0.41,0,0,0,-0.09,-0.1,-0.16,-0.77,-0.25,-0.26
1232,320926,0.44,-0.08,-0.24,0,0,0,-0.1,0.24,0.03,0.07,-0.08,0.05
1284,320928,-0.42,0.05,0.45,0,0,0,0.74,0.19,-0.27,0.25,-0.24,-0.06
1286,320929,-0.24,-0.06,0.19,0,0,0,0.38,-0.03,-0.21,-0.45,0.12,0.02
1289,320930,0.05,-0.01,0.26,0,0,0,-0.37,-0.14,0.34,0.15,0.28,-0.28
1293,320931,0.66,-0.01,0.66,0,0,0,-0.47,0.11,0.18,0.01,0.08,-0.23
1295,320932,-0.2,0.19,0.14,0,0,0,0.01,-0.06,0.03,-0.46,0.04,-0.07
1297,320933,-0.47,-0.04,0.01,0,0,0,0.24,-0.18,0.03,-0.03,0.03,-0.26
1300,320934,-0.37,-0.31,-0.02,0,0,0,0.3,0.3,0,-0.13,0.12,0.01
1302,320935,0.28,0.13,-0.2,0,0,0,-0.23,0.09,0.14,-0.52,0.01,-0.26
1306,320936,-0.21,-0.08,-0.29,0,0,0,0.23,0.06,0.25,0.21,-0.01,-0.99
1308,320937,-0.35,0.24,-0.38,0,0,0,-0.32,-0.17,0.28,-0.01,0.17,0.15
1358,320938,-0.28,0.29,-0.1,0,0,0,0,-0.3,-0.38,-0.25,0.1,-0.07
1360,320939,-0.64,0.41,-0.1,0,0,0,-0.15,-0.51,-0.21,0.32,-0.02,-0.03
1363,320940,-0.33,0.04,-0.03,0,0,0,0.48,0.06,-0.02,-0.21,-0.28,-0.15
1365,320941,0.12,-0.01,0.37,0,0,0,0.15,0.23,-0.06,-0.11,-0.23,0.19
1368,320942,-0.51,-0.01,-0.11,0,0,0,-0.5,-0.14,-0.18,-0.18,0.03,-0.15
1370,320943,0.42,-0.27,-0.09,0,0,0,0.57,0.07,-0.04,-0.17,-0.05,-0.14
1374,320944,0.17,-0.17,-0.42,0,0,0,-0.08,-0.11,0.02,0.03,0.18,-0.36
1376,320945,-0.04,0.11,0.08,0,0,0,-0.25,-0.17,0.13,0.26,0.3,-0.45
1378,320946,0.42,0.09,-0.24,0,0,0,0.43,-0.02,0.35,0.35,0.16,-0.41
1381,320947,-0.31,-0.02,-0.26,0,0,0,-0.01,-0.1,0.2,0.29,0.23,-0.31
1431,320948,-0.34,-0.11,0.19,0,0,0,-0.36,0.15,-0.04,0.01,-0.32,0.38
